ED0111,EDICIONES RIALP,1,2023-09-10
ED0112,EDICIONES ROCA,1,2023-09-10
ED0113,EDICIONES SIN NOMBRE,1,2023-09-10
ED0114,EDICIONES SIRUELA,1,2023-09-10
ED0115,EDICIONES SM,1,2023-09-10
ED0116,EDICIONES SOMOS NIÑOS,1,2023-09-10
ED0117,EDICIONES TECOLOTE,1,2023-09-10
ED0118,EDICIONES TROQUEL,1,2023-09-10
ED0119,EDICIONES URANO,1,2023-09-10
ED0120,EDILIN,1,2023-09-10
ED0121,EDILUPA,1,2023-09-10
ED0122,EDIMAT,1,2023-09-10
ED0123,EDISEPA,1,2023-09-10
ED0124,EDITORES MEXICANOS UNIDOS,1,2023-09-10
ED0125,EDITORIAL CCS,1,2023-09-10
ED0126,EDITORIAL JOAQUÍN MORTIZ,1,2023-09-10
ED0127,EDITORIAL MARGARITA ROBLEDA,1,2023-09-10
ED0128,EDITORIAL RM,1,2023-09-10
ED0129,EGALES,1,2023-09-10
ED0130,EL CENTAURO,1,2023-09-10
ED0131,EL COLEGIO DE MÉXICO,1,2023-09-10
ED0132,EL COLEGIO DE PUEBLA,1,2023-09-10
ED0133,EL DRAGÓN ROJO,1,2023-09-10
ED0134,EL ERRANTE,1,2023-09-10
ED0135,EL GUARDAGUJAS,1,2023-09-10
ED0136,EL NARANJO,1,2023-09-10
ED0137,EL UNIVERSAL,1,2023-09-10
ED0138,EL VISO,1,2023-09-10
ED0139,ÉPOCA,1,2023-09-10
ED0140,ESFINGE,1,2023-09-10
ED0141,EURO MÉXICO,1,2023-09-10
ED0142,EVEREST,1,2023-09-10
ED0143,EVEREST MEXICANA,1,2023-09-10
ED0144,FEIVAR,1,2023-09-10
ED0145,FEPADE,1,2023-09-10
ED0146,FERNÁNDEZ,1,2023-09-10
ED0147,FICTICIA,1,2023-09-10
ED0148,FONDO DE CULTURA ECONÓMICA,1,2023-09-10
ED0149,FONTAMARA,1,2023-09-10
ED0150,FRANZ ETHER NACHFOLGER GMBH ,1,2023-09-10
ED0151,GADIR,1,2023-09-10
ED0152,GEDISA,1,2023-09-10
ED0153,GOBIERNO DEL ESTADO DE PUEBLA,1,2023-09-10
ED0154,GRAFICA CREATIVIDAD Y DISEÑO,1,2023-09-10
ED0155,GRIJALBO,1,2023-09-10
ED0156,GRUPO AZABACHE,1,2023-09-10
ED0157,GRUPO EDITORIAL PATRIA,1,2023-09-10
ED0158,HACHETTE LATINOAMÉRICA,1,2023-09-10
ED0159,HEMMA,1,2023-09-10
ED0160,HIPERLIBRO,1,2023-09-10
