33,972003D52_3,DICCIONARIO ENCICLOPÉDICO DE MÉXICO E-G,1048,C0001,ED0014,S0001,1,2010,3,,,EN PERFECTO ESTADO,1,2023-09-10
34,972003D52_4,DICCIONARIO ENCICLOPÉDICO DE MÉXICO H-L,1393,C0001,ED0014,S0001,1,2007,4,,,EN PERFECTO ESTADO,1,2023-09-10
35,972003D52_5,DICCIONARIO ENCICLOPÉDICO DE MÉXICO M-N,1738,C0001,ED0014,S0001,1,2009,5,,,EN PERFECTO ESTADO,1,2023-09-10
36,972003D52_6,DICCIONARIO ENCICLOPÉDICO DE MÉXICO O-Q,2080,C0001,ED0014,S0001,1,2010,6,,,EN PERFECTO ESTADO,1,2023-09-10
37,972003D52_7,DICCIONARIO ENCICLOPÉDICO DE MÉXICO R-S,2428,C0001,ED0014,S0002,1,2011,7,,,EN PERFECTO ESTADO,1,2023-09-10
38,972003D52_8,DICCIONARIO ENCICLOPÉDICO DE MÉXICO T-Z,2816,C0001,ED0014,S0002,1,2011,8,,,EN PERFECTO ESTADO,1,2023-09-10
39,460.03E678_1,DICCIONARIO DE LA LENGUA ESPAÑOLA DE NOMBRES PROPIOS,934,C0001,ED0014,S0002,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
40,460.03E678_2,DICCIONARIO INGLÉS ESPAÑOL,468,C0001,ED0014,S0002,1,2008,2,,,EN PERFECTO ESTADO,1,2023-09-10
41,460.03E678_3,DICCIONARIO ESPAÑOL INGLES,277,C0001,ED0014,S0002,1,2008,3,,,EN PERFECTO ESTADO,1,2023-09-10
42,460.03E678_4,GRAMÁTICA PRÁCTICA,458,C0001,ED0015,S0002,1,2002,4,,,EN PERFECTO ESTADO,1,2023-09-10
43,460.03E678_5,DICCIONARIO DE SINÓNIMOS Y ANTÓNIMOS,790,C0001,ED0016,S0002,1,2014,5,,,EN PERFECTO ESTADO,1,2023-09-10
44,460.03E678_6,VOCABULARIO CIENTÍFICO - TÉCNICO,490,C0001,ED0017,S0001,1,2001,6,,,EN PERFECTO ESTADO,1,2023-09-10
45,460.03E678_7,ORTOGRAFÍA GRÁFICA,544,C0001,ED0017,S0002,1,2013,7,,,EN BUEN ESTADO,1,2023-09-10
46,460.03E678_8,DICCIONARIO PLURILINGÜE,314,C0001,ED0018,S0001,1,2006,8,,,EN PERFECTO ESTADO,1,2023-09-10
47,460.03E678_9,BIOGRAFÍAS DE MÉXICO,352,C0001,ED0018,S0001,1,2008,9,,,EN PERFECTO ESTADO,1,2023-09-10
48,57755G34,DICCIONARIO AMBIENTAL Y ASIGNATURAS ,304,C0001,ED0018,S0001,1,2011,1,,,EN PERFECTO ESTADO,1,2023-09-10
49,780.9H57_1,HISTORIA DE LA MÚSICA LA EPOCA DEL HUMANISMO Y DEL RENACIMIENTO,155,C0001,ED0018,S0001,1,2013,1,,,EN PERFECTO ESTADO,1,2023-09-10
50,780.9H57_2,HISTORIA DE LA MÚSICA LA ÉPOCA DE BACH Y HAENDEL,189,C0001,ED0018,S0001,1,2013,1,,,EN PERFECTO ESTADO,1,2023-09-10
51,780.9H57_3,HISTORIA DE LA MÚSICA LA EPOCA DE MOZART Y BEETHOVEN,295,C0001,ED0018,S0001,1,2013,1,,,MALTRATADO EN LAS ESQUINAS DE PORTADA,1,2023-09-10
52,160D52,DICCIONARIO DE LA LÓGICA,567,C0001,ED0018,S0001,1,2013,1,,,EN PERFECTO ESTADO,1,2023-09-10
53,917.2003Q43,MÉXICO 2010 ¿QUÉ ES LO QUE MÁS TE ENORGULLECE DE TU MUNICIPIO?,347,C0001,ED0018,S0001,1,1605,1,,,EN PERFECTO ESTADO,1,2023-09-10
54,917.2003Q46,MÉXICO 2010 ¿QUÉ ES LO QUE MÁS TE ENORGULLECE DE TU MUNICIPIO?,529,C0001,ED0018,S0001,1,1979,1,,,MALTRATADO EN COBERTURA DEL LIBRO,1,2023-09-10
55,972.01V38,ENTRE CÓDICES,226,C0001,ED0018,S0002,1,1992,1,,,EN PERFECTO ESTADO,1,2023-09-10
56,004.67L482,INTERNET PARA DUMMIES,379,C0002,ED0018,S0002,1,2010,1,,,EN PERFECTO ESTADO,1,2023-09-10
57,005.84R62,VIRUS DE SISTEMAS INFORMÁTICOS E INTERNET,451,C0002,ED0018,S0002,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
58,027.172A75,VIDA ENTRE LIBROS,406,C0002,ED0018,S0002,1,2009,1,,,EN PERFECTO ESTADO,1,2023-09-10
59,028.8B44,COMUNIDADES LECTORAS - GUIA PARA PROPICIAR LA LECTURA EN SU ENTORNO,48,C0002,ED0018,S0002,1,1985,1,,,EN PERFECTO ESTADO,1,2023-09-10
60,028.9P47,COMO UNA NOVELA,169,C0002,ED0019,S0001,1,2000,1,,,EN BUEN ESTADO,1,2023-09-10
61,027.009S42,EL LIBRO DE LAS BIBLIOTECAS,69,C0002,ED0019,S0001,1,2007,1,,,EN PERFECTO ESTADO ,1,2023-09-10
62,028.9B52,LA BIBLIOTECA PÚBLICA Y LA FORMACIÓN DE LECTORES EN LA SOCIEDAD DE LA INFORMACIÓN,234,C0002,ED0019,S0001,1,2013,1,,,EN BUEN ESTADO,1,2023-09-10
63,028.9D44,DE LA TRADICIÓN ORAL A LA SOCIEDAD DE LA INFORMACIÓN: PRÁCTICAS Y TENDENCIAS ACTUALES DE LA LEC,239,C0002,ED0020,S0001,1,1971,1,,,EN PERFECTO ESTADO,1,2023-09-10
64,004.019D47,LA REVOLUCIÓN INCOMPLETA,220,C0002,ED0020,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
65,001.53CH55,LA CIBERNÉTICA,63,C0002,ED0020,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
66,069W46,LOS MUSEOS,63,C0002,ED0020,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
67,069.097253A62,A PAPALOTEAR: 20 AÑOS DE PAPALOTE MUSEO DEL NIÑO,146,C0002,ED0020,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
68,070.44937132O76,EL LIBRO DE TODOS: 52 AÑOS- 52 ENTREVISTAS,293,C0002,ED0020,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
69,070.435A325,LAS AGENCIAS DE NOTICIAS EN LA ERA DIGITAL,185,C0002,ED0020,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
70,70.449D53,EN EL UMBRAL DEL MILENIO,478,C0002,ED0021,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
71,121.63A86,LAS APORÍAS FUNDAMENTALES DEL PERIODO NOVOHISPANO,140,C0003,ED0021,S0001,1,2013,1,,,EN PERFECTO ESTADO,1,2023-09-10
72,121.686R52,DEL TEXTO A LA EDICIÓN: ENSAYOS DE LA HERMENÉUTICA II,376,C0003,ED0021,S0001,1,2009,1,,,EN PERFECTO ESTADO,1,2023-09-10
73,128.3R53,LA MEMORIA- LA HISTORIA DEL OLVIDO,670,C0003,ED0021,S0001,1,2009,1,,,EN PERFECTO ESTADO,1,2023-09-10
74,144H86,HUMANISTAS MEXICANOS DEL SIGLO XVI,165,C0003,ED0021,S0002,1,2009,1,,,EN PERFECTO ESTADO,1,2023-09-10
75,150.195A48,EL PSICOANÁLISIS,63,C0003,ED0022,S0001,1,2008,1,,,EN BUEN ESTADO,1,2023-09-10
76,150B88,UNA BREVÍSIMA INTRODUCCIÓN  A LA PSICOLOGÍA,221,C0003,ED0022,S0001,1,2013,1,,,EN PERFECTO ESTADO,1,2023-09-10
77,153.35V53,LA IMAGINACIÓN Y EL ARTE EN LA INFANCIA,109,C0003,ED0022,S0002,1,2008,1,,,EN PERFECTO ESTADO,1,2023-09-10
78,155.33G65,NIÑO O NIÑA: LAS DIFERENCIAS SEXUALES,176,C0003,ED0022,S0002,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
79,155.643C54,TODO PARECÍA ESTAR BIEN,256,C0003,ED0022,S0002,1,2008,1,,,EN PERFECTO ESTADO,1,2023-09-10
80,170G744,UNA ÉTICA PARA EL SIGLO XXI: ÉTICA Y DERECHOS HUMANOS EN UN TIEMPO POSMETAFÍSICO,159,C0003,ED0022,S0002,1,2015,1,,,EN PERFECTO ESTADO,1,2023-09-10
81,172A33,LA AGENDA ÉTICA PENDIENTE DE AMÉRICA LATINA,365,C0003,ED0022,S0002,1,2002,1,,,EN PERFECTO ESTADO,1,2023-09-10
82,174.24K72,LA EUTANASIA,63,C0003,ED0022,S0002,1,2008,1,,,EN PERFECTO ESTADO,1,2023-09-10
83,184P474,DIALOGOS,457,C0003,ED0022,S0002,1,2006,1,,,EN PERFECTO ESTADO,1,2023-09-10
84,182.2V33,PITÁGORAS,129,C0003,ED0023,S0001,1,1993,1,,,EN PERFECTO ESTADO,1,2023-09-10
85,194B355,PEQUEÑO PANTEÓN PORTÁTIL,174,C0003,ED0023,S0001,1,2008,1,,,EN PERFECTO ESTADO,1,2023-09-10
86,194D476,Y MAÑANA- QUE…,213,C0003,ED0023,S0001,1,1989,1,,,EN PERFECTO ESTADO,1,2023-09-10
87,194F65,LOS ANORMALES,350,C0003,ED0024,S0002,1,2001,1,,,EN PERFECTO ESTADO,1,2023-09-10
88,199.72F57,FOLÓSOFOS MEXICANOS DEL SIGLO XVIII,207,C0003,ED0025,S0001,1,2005,1,,,MALTRATADO- HOJAS Y COBERTURA DEL LIBRO MALTRATADAS. ALGUNAS HOJAS DESPEGADAS.,1,2023-09-10
89,200.19C73,LA CREENCIA Y EL PSICOANÁLISIS,193,C0004,ED0026,S0001,1,2011,1,,,EN PERFECTO ESTADO,1,2023-09-10
90,255.1B68,LA VIDA EN UN MONASTERIO MEDIEVAL,48,C0004,ED0026,S0001,1,2011,1,,,EN PERFECTO ESTADO,1,2023-09-10
91,271.407237B37,LOS AGUSTINOS- AQUELLOS MISIONEROS HACENDADOS,277,C0004,ED0026,S0001,1,2011,1,,,EN PERFECTO ESTADO,1,2023-09-10
92,291.13C35,EL HÉROE DE LAS MIL CARAS : PSICOANÁLISIS DEL MITO,372,C0004,ED0026,S0001,1,2011,1,,,EN PERFECTO ESTADO,1,2023-09-10
93,292.177V47,ATRAVESAR FRONTERAS: ENTRE MITO Y POLÍTICA II,194,C0004,ED0026,S0001,1,2011,1,,,EN PERFECTO ESTADO,1,2023-09-10
94,294.59212V42,RIG VEDA,310,C0004,ED0026,S0001,1,2011,1,,,EN PERFECTO ESTADO,1,2023-09-10
95,296.162Z63,ZOHAR: LIBRO DEL ESPLENDOR,189,C0004,ED0026,S0001,1,2014,1,,,LIGERAMENTE DOBLADO DEL BORDE DE LAS HOJAS,1,2023-09-10
96,299.792M425,HISTORIA ECLESIÁSTICA INDIANA II,522,C0004,ED0027,S0001,1,2010,1,,,EN PERFECTO ESTADO,1,2023-09-10
97,299.79281P651,POPOL VUH: LAS ANTIGUAS HISTORIAS DEL QUICHÉ,185,C0004,ED0028,S0001,1,2006,1,,,EN PERFECTO ESTADO,1,2023-09-10
98,300.18P38,METODOLOGÍA Y TÉCNICAS DE INVESTIACIÓN EN CIENCIAS SOCIALES,242,C0005,ED0028,S0001,1,2011,1,,,EN PERFECTO ESTADO,1,2023-09-10
99,301.0972H63,HACIA DONDE VA LA CIENCIA EN MÉXICO: HISTORIA- LINGÜÍSTICA Y ANTROPOLOGÍA,153,C0005,ED0029,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
100,301.0972E_85,HACIA DONDE VA LA CIENCIA EN MÉXICO: ÉTICA- FILOSOFÍA Y CIENCIAS SOCIALES,125,C0005,ED0029,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
101,301.0972H85,HACIA DONDE VA LA CIENCIA EN MÉXICO:HUMANIDADES Y CIENCIAS SOCIALES,179,C0005,ED0030,S0001,1,2001,1,,,LA PORTADA ESTA ALGO DESPINTADA,1,2023-09-10
102,303.483C658,HACIA DONDE VA LA CIENCIA EN MÉXICO: COMUNICACIÓN PÚBLICA DE LA CIENCIA II. EL OFICIO,207,C0005,ED0030,S0001,1,2000,1,,,ALGO MALTRATADO DE LA PORTADA Y ESQUINAS,1,2023-09-10
103,303.483S23,JORNADAS 101,221,C0005,ED0030,S0001,1,2003,1,,,EN BUEN ESTADO,1,2023-09-10
104,304.60972R32,LA POBLACIÓN,71,C0005,ED0031,S0001,1,2013,1,,,EN PERFECTO ESTADO,1,2023-09-10
105,305.235M85,HORIZONTALES Y VERTICALES,395,C0005,ED0031,S0001,1,2003,1,,,EN BUEN ESTADO,1,2023-09-10
106,305.3B33,HOMBRES/MUJERES COMO SALIR DEL CAMINO EQUIVOCADO,148,C0005,ED0031,S0001,1,2006,1,,,EN BUEN ESTADO,1,2023-09-10
107,305.42P463,MI HISTORIA DE LAS MUJERES,247,C0005,ED0031,S0002,1,2014,1,,,EN PERFECTO ESTADO,1,2023-09-10
108,305.56M57,LA MISERIA DEL MUNDO,564,C0005,ED0031,S0002,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
109,305.5633C35,EL CAMPESINADO EN MÉXICO: DOS PERSPECTICAS DE ANÁLISIS,269,C0005,ED0031,S0002,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
110,305.52P47,EL CULTIVO DE LAS ÉLITES. GRUPOS ECONÓMICOS Y POLÍTICOS EN YUCATÁN EN LOS SIGLOS XIX Y XX,261,C0005,ED0031,S0002,1,2017,1,,,EN PERFECTO ESTADO,1,2023-09-10
111,305.56W38,… Y VENIMOS A CONTRADECIR. LOS CAMPESINOS DE MORELOS Y EL ESTADO NACIONAL,351,C0005,ED0032,S0001,1,2006,1,,,EN PERFECTO ESTADO,1,2023-09-10
112,305.8D47,COMO SER AUTÓCTONO: DEL PURO ATENIENSE AL FRANCÉS DE RAIGAMBRE,146,C0005,ED0032,S0001,1,2004,1,,,EN PERFECTO ESTADO,1,2023-09-10
113,305.90816M64,TODOS SIGNIFICA TODOS: INCLUSIÓN DE NIÑÑOS CON DISCAPACIDAD EN ACTIVIDADES DE ARTE Y CULTURA,62,C0005,ED0032,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
114,306T38,TEORÍA DE LA CULTURA: UN MAPA DE LA CUESTIÓN,191,C0005,ED0032,S0001,1,2004,1,,,EN PERFECTO ESTADO,1,2023-09-10
115,306.08972P35_1,LA FORMACIÓN GEOGRÁFICA DE MÉXICO,312,C0005,ED0032,S0001,1,2015,1,,,EN PERFECTO ESTADO,1,2023-09-10
116,306.08972P35_2,LA IDEA DE NUESTRO PATRIMONIO HISTÓRICO Y CULTURAL,394,C0005,ED0032,S0001,1,2005,2,,,EN PERFECTO ESTADO,1,2023-09-10
117,306.08972P35_3,LA ANTROPOLOGÍA Y EL PATRIMONIO CULTURAL DE MÉXICO,304,C0005,ED0032,S0001,1,2018,3,,,EN PERFECTO ESTADO,1,2023-09-10
118,306.08972P35_4,LA MÚSICA EN LOS SIGLOS XIX Y XX,599,C0005,ED0033,S0001,1,2012,4,,,EN PERFECTO ESTADO,1,2023-09-10
119,306.08972P35_5,LA LITERATURA EN LOS SIGLOS XIX Y XX,436,C0005,ED0033,S0001,1,2011,5,,,EN PERFECTO ESTADO,1,2023-09-10
120,306.08972P35_6,LAS ARTES PLÁSTICAS Y VISUALES EN LOS SIGLOS XIX Y XX,238,C0005,ED0034,S0001,1,1999,6,,,EN PERFECTO ESTADO,1,2023-09-10
121,306.7M82,EL ORGASMO Y OCCIDENTE,425,C0005,ED0035,S0001,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
122,306.08C65,COMPARTIR EL PATRIMONIO CULTURAL INMATERIAL: NARRATIVAS Y REPRESENTACIONES,328,C0005,ED0035,S0001,1,2000,1,,,EN PERFECTO ESTADO,1,2023-09-10
123,306.80972V52,VIDA FAMILIAR Y CULTURAL CONTEMPORÁNEA,409,C0005,ED0035,S0001,1,1947,1,,,EN PERFECTO ESTADO,1,2023-09-10
124,306.85J442,PAN Y AFECTOS. LA TRANSFORMACIÓN DE LAS FAMILIAS,221,C0005,ED0035,S0001,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
125,307.760972C585,CIUDADES MEXICANAS. DESAFÍOS EN CONCIERTO,438,C0005,ED0035,S0001,1,1990,1,,,EN PERFECTO ESTADO,1,2023-09-10
126,320.01F68,SEGURIDAD- TERRITORIO- POBLACIÓN.,484,C0005,ED0035,S0001,1,1992,1,,,EN PERFECTO ESTADO,1,2023-09-10
127,320.1B38,EN BUSCA DE LA POLITICA,215,C0005,ED0036,S0001,1,1989,1,,,EN PERFECTO ESTADO,1,2023-09-10
128,320.1C73,EL ESTADO,52,C0005,ED0036,S0001,1,1998,1,,,EN PERFECTO ESTADO,1,2023-09-10
129,320.1H64,EL PROYECTO  POLÍTICO DE LA MODERNIDAD,334,C0005,ED0036,S0001,1,1987,1,,,EN BUEN ESTADO,1,2023-09-10
130,320.51C87,EL LIBERALISMO,52,C0005,ED0036,S0001,1,1987,1,,,EN BUEN ESTADO,1,2023-09-10
131,320.54B374,EL NACIONALISMO,44,C0005,ED0036,S0001,1,1991,1,,,EN PERFECTO ESTADO,1,2023-09-10
132,320.972C3758,LA REFORMA POLÍTICA DEL ESTADO,84,C0005,ED0036,S0001,1,2014,1,,,EN PERFECTO ESTADO,1,2023-09-10
133,320.972N32,LAS INSTITUCIONES POLÍTICAS DE LOS ESTADOS UNIDOS MEXICANOS,78,C0005,ED0037,S0001,1,2001,1,,,EN BUEN ESTADO,1,2023-09-10
134,320.972M65085,CATECISMO POLÍTICO DE LA FEDERACIÓN MEXICANA,116,C0005,ED0038,S0001,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
135,320.972R6854,LAS INSTITUCIONES POLÍTICAS,77,C0005,ED0038,S0001,1,1989,1,,,EN PERFECTO ESTADO,1,2023-09-10
136,320R741,DISCURSO SOBRE EL ORIGEN Y LOS FUNDAMENTOS DE LA DESIGUALDAD ENTRE LOS HOMBRES,140,C0005,ED0038,S0002,1,2012,1,,,EN PERFECTO ESTADO,1,2023-09-10
137,320.98M35,NUESTRA AMÉRICA ES UNA. ESCRITOS PÓLITICOS,200,C0005,ED0039,S0001,1,2014,1,,,MALTRADO EN LAS ORILLAS,1,2023-09-10
138,320.982C73,CREAR LA DEMOCRACIA - LA REVISTA ARGENTINA DE CIENCIAS POLÍTICAS Y EL DEBATE EN TORNO DE LA R. V.,329,C0005,ED0039,S0001,1,2015,1,,,LIGERAMENTE MALTRATADO EN LAS PUNTAS Y MANCHADO EN LA PORTADA,1,2023-09-10
139,321.8A32,LA MUERTE Y LA RESURRECCIÓN DE LA REPRESENTACIÓN POLÍTICA,132,C0005,ED0039,S0001,1,2014,1,,,EN PERFECTO ESTADO,1,2023-09-10
140,321.8A375,VUELTA EN U. GUÍA PARA ENTENDER Y REACTIVAR LA DEMOCRACIA ESTANCADA,400,C0005,ED0039,S0001,1,2014,1,,,EN PERFECTO ESTADO,1,2023-09-10
141,320.944M57,DISCURSOS EN LA ASAMBLEA NACIONAL,143,C0005,ED0039,S0001,1,2014,1,,,EN PERFECTO ESTADO,1,2023-09-10
142,321.8L33,LA RAZÓN POPULISTA,312,C0005,ED0039,S0001,1,2014,1,,,EN PERFECTO ESTADO,1,2023-09-10
143,321.8G83,LA TRANSPARENCIA,92,C0005,ED0039,S0001,1,2014,1,,,EN PERFECTO ESTADO,1,2023-09-10
144,321.8S79,LA VIDA EN LA SOCIEDAD CONTEMPORÁNEA - UNA MIRADA POLÍTICA,206,C0005,ED0039,S0001,1,2015,1,,,EN BUEN ESTADO,1,2023-09-10
145,322.1B515,EL ESTADO LAICO,75,C0005,ED0039,S0001,1,2015,1,,,EN PERFECTO ESTADO,1,2023-09-10
146,322.420972R45,LOS MOVIMIENTOS INDÍGENAS Y CAMPESINOS,72,C0005,ED0039,S0001,1,2015,1,,,EN PERFECTO ESTADO,1,2023-09-10
147,323.0972I22,LOS DERECHOS HUMANOS EN MÉXICO,77,C0005,ED0039,S0001,1,2015,1,,,EN PERFECTO ESTADO,1,2023-09-10
148,323.6G66,CAMINO A LA CIUDADANIA - UN LIBRO PARA JOVENES DE 16 AÑOS EN ADELANTE,64,C0005,ED0040,S0001,1,2014,1,,,EN PERFECTO ESTADO,1,2023-09-10
149,323.6R36,LA INSTITUCIÓN CIUDADANA,85,C0005,ED0041,S0001,1,2012,1,,,MALTRATADO DE LAS ESQUINAS,1,2023-09-10
150,324.27235O36,DE URNAS Y SOTANAS-EL PARTIDO CATÓLICO NACIONAL EN JALISCO,315,C0005,ED0042,S0001,1,1964,1,,,EN PERFECTO ESTADO,1,2023-09-10
151,324.272W64,LOS PARTIDOS POLÍTICOS Y LAS ELECCIONES DE LOS ESTADOS UNIDOS MEXICANOS,52,C0005,ED0042,S0001,1,1998,1,,,EN PERFECTO ESTADO,1,2023-09-10
152,325.2720973M55472,HACIA DÓNDE VA LA CIENCIA EN MÉXICO. MIGRACIÓN Y DESARROLLO,173,C0005,ED0043,S0001,1,2010,1,,,EN PERFECTO ESTADO,1,2023-09-10
153,327.7308CH65,NOAM CHOMSKY HABLA DE AMÉRICA LATINA Y MÉXICO,206,C0005,ED0044,S0001,1,1996,1,,,EN PERFECTO ESTADO,1,2023-09-10
154,327.72054O27,OCTAVIO PAZ- EMBAJADOR DE MÉXICO EN INDIA: DOCUMENTOS E INFORMES,277,C0005,ED0044,S0001,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
155,328.72N38,EL CONGRESO,83,C0005,ED0044,S0001,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
156,330.972G558,CINCO CRISIS MEXICANAS,100,C0005,ED0044,S0001,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
157,330.972A4839,ESTRUCTURA SOCIECONÓMICA DE MÉXICO (1940 - 2000),330,C0005,ED0044,S0001,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
158,330.982F477,LA HISTORIA DE ZÁRATE-BRAZO LARGO: LAS DOS CARAS DE ESTADO ARGENTINO,158,C0005,ED0044,S0001,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
159,330.952N34,ECONOMÍA JAPONESA - ESTRUCTURA Y DESARROLLO,428,C0005,ED0044,S0001,1,2007,1,,,EN PERFECTO ESTADO,1,2023-09-10
